drugName,condition,review,rating
Viagra,Erectile Dysfunction,Well. What can I say - Viagra has been great. Works for about 6-7 hours with very minimal side effects. Only side effect I experience was a mild headache the next day. Been using it for 6 months now and I haven't noticed any decreases in effectiveness/strength. I am only 29 years old though.,9
Toradol,Pain,"From reading these I can see everyone is different. For me, on an IV drip, it completely eliminated the pain, gone. Taking pills after the Torodol wore off did nothing. Eventually threw them all up and went back to the ER.",10
Docusate,Constipation,"I have been on opioid therapy, which causes constipation. My physician ordered me senna s, which is fiber based, with the s being a stimulant. I get cramps when I take the senna, but I don't with this docusate. It works well for me. My only concern is I can't find any information on extended use. I've been using it daily for about 2 weeks, and very thankful.",8
Sodium biphosphate / sodium phosphate,Bowel Preparation,"I thought this was the perfect solution for not having to drink a gallon of awful colon cleansing drink. Boy was I wrong. I ended up vomiting and not being able to finish the last six pills. I had to use 2 Fleets to finish cleaning it in the morning. It's 2 weeks after my procedure and I'm still having diarrhea and cramping. Next time, I'm power through the gallon of prep!",1
Vistaril,Anxiety,"My mother has cancer. With that she has anxiety. The Dr prescribed her vistaril 25mg. Granted it kinda helps anxiety but it contributes to hallucinations. When I leave her off of it she has anxiety when she takes it, her dreams are vividly real. Weigh your options or decrease dosage but if a loved one is taking this medication before mental diagnosis try replacing or removing this drug for at least 48 hrs.",6
Olmesartan,High Blood Pressure,"20mg a day has been enough to put me well into the safety zone. I haven't had any side effects, except occasional dizziness when standing. Energy level is great.",10
Phenelzine,Depression,"I was diagnosed with bipolar/severe mania and depression since I was 26, I have see every psychiatrist in my area, and have been put on every antidepressant from Paxil to Effexor. The only one that ever worked is Nardil. I am 33 years old now and would recommend this monoamine oxidase inhibitor to everyone who needs to be on an antidepressant. I was fortunate to find a very intelligent doctor who worked with me through these years. He told me not too many doctors prescribe Nardil for the food restrictions or whatever, but I personally believe the ""old school"" MAOI's are the way to go. Nardil gets a 10 in my book. I felt the ahhh, effects after one week.",10
Darvocet A500,Pain,"Due to some of my history, Darvocet has helped me make it though days I thought I wouldn't get out of bed.",8
Voltaren,Osteoarthritis,"I have osteoarthritis in my hands, elbows, knees and feet, and some days the pain was so bad I didn't want to move. The first day I took Voltaren I felt full pain relief, It's a wonderful pain medication. I like that its not a narcotic. Thank you Voltaren I have my life back.",9
Tribenzor,High Blood Pressure,"After trying 8 other medications, this product started working in 7 days and consistently controls my blood pressure WITHOUT side effects!",10
Pantoprazole,GERD,"If you have diabetes type 2, I strongly urge you not to take this drug. Even though they say that increase of blood sugar is rare, this happened to me. About five days I started taking this drug (40mg), I started to feel lightheaded. My morning reading of blood sugar is normally about 6.6 three hours after breakfast, but I started getting readings of 11.6. I felt like hell. Even worse, the spike in blood sugar caused my blood pressure (controlled by medication) to also spike to about 165/80. I decided to stop the Pantoprazole. The lightheadness went away, and my blood pressure returned to normal. Be very careful with this drug. There are a couple of websites which warn of increase in blood sugar.",2
Microgestin 1 / 20,Birth Control,I am finishing up my first month on it. The first two weeks were rough. I started my period on the first month and it was very heavy. My doctor had prescribed me with it to control my migraines and periods. So far no migraines and less acne. My breast have grown a whole cup size though.,6
Levonorgestrel,Emergency Contraception,"I had unprotected sex on August 10, also the last day of my period. He told me he pulled out but I wanted to just be on the safe side since I wasn't very safe with just word of mouth. Took the pill about 3 hours after the incident, and had no side effects. The only side effects were headaches, occasional cramps, and VERY SORE BOOBS about 2 weeks after taking, also had no spotting which worried me Bc seemed like everybody had that. Since my period wasn't due for another month, the waiting killed me. Last night I was cramping and woke up this morning to my period, 2 days early! Don't stress, as I did every night and day and didn't make the situation better. The pill WORKS.",10
Opana,Pain,I have had negative experiences with opana ER 30 mg / and 10 mg IR . I have had mostly all of the side effects & my doctor won't listen to me,2
Nadolol,Migraine Prevention,"I have been taking 40mg/day of Nadolol for 13 years and except for some tingling fingers and feeling more cold than usual, it's been great. Some would not be happy with my results because my migraine FREQUENCY has not changed, but now an Excedrin Migraine or cup of coffee will work wonders in less than an hour. My heart rate is in the 50s but I don't notice. One of the life changes I did make though, is cutting out caffeine in my diet. This is important so when I DO get a headache, the caffeine in the Excedrin or coffee really gives me a punch. I tried weaning off Nadolol years ago but the Excedrin wouldn't do the trick anymore.",8
Ativan,Anxiety,"Ativan has been a life saver on several occasions in treating my ongoing anxiety; however, I hate that it's so 'short lived'. I take it only when I need it but have noticed that the more I need it, the stronger dose I need as well. I started out by breaking my 1mg tabs in half, now I find myself taking 1-2mg at a time in order to feel any relief from the anxiety.",6
MS Contin,Chronic Pain,"suffering from ME/CFS for over 25 yrs; morphine is ONLY med that decreased pain to tolerable level; take 75mg 3xday with 10mg statex(also morphine) for ""breakout""pain; impossible to ""forget"" a dose; as the pain lets you know within an hour;1maj. side eff.constipation;controlled by250mg/magnesium 4xday",9
Ethinyl estradiol / ethynodiol,Birth Control,I have been on this pill for almost a year now. I take it continuously as to not have periods due to my endometriosis. It was a wonderful pill with virtually no side effects until four months ago. I have breakthrough bleeding that lasted for 5 days. The next month I had breakthrough bleeding that lasted 4 days. The next month I had horrible pain but no bleeding. And finally this month (month 4) I have had excruciating pain and have been bleeding for 2 days so far. The pain is terrible and almost as bad as when I'm not on birth control. I'm going to my doctor to get switched. I would recommend this to anyone who was going on birth control for a short time but not any longer than 6 months.,8
Effexor XR,Anxiety and Stress,"I was prescribed Effexor XR for the treatment of anxiety and slight depression. The bottom line is this, it made me more calm but at the expense of too many side effects. It wasn't worth it to me. It made me more calm almost clouded my mind. I was sleepy throughout the day and had no energy. But if I took my second dose too late in the day, I couldn't sleep at night. I also sweated profusely more often, typically within a couple of hours of taking the medicine. Perhaps the most profound side effect I experienced was the inability to achieve ejaculation. This was NEVER a problem in my life until I began taking Effexor. My doctor has now switched me to Wellbutrin. Hope it works.",6
Ceftriaxone,Urinary Tract Infection,"I expressed I felt strongly I had an infection on my kidney or bladder and after she decided to test my urine she came back and said i made her a liar and there was infection still present after completing the Cipro. I was given Rocephin via IV, fluids, and CScan. Diagnosed with UTI and the infection was on my bladder. Gave me Nitrofurantoin and I've been sick as heck- chills, nausea, you name it! Going back and requesting Rocephin shot!",10
Medroxyprogesterone,Birth Control,"I had a boyfriend for a few months and our relationship started to get serious so I decided that I needed to start some sort of birth control. I am awful with remembering to take my medicine everyday. This shot was an easy fix for that. You get a shot then don't have to think about taking anything again for three months and you just go get another shot. This birth control is very effective and easy to keep up with, but one of the side effects was weight gain. I figured that I'd be fine since my doctor told me it just increases your appetite so as long as you watch what you eat you would be fine. This shot made me hungry all of the time. I gained 30 pounds from September to February. I got off of the shot and the weight is not easy to lose.",4
Monistat 3-Day Combination Pack,Vaginal Yeast Infection,My husband went and got me the three day monostat tonight because I have been have some really bad itching. Well I insert it and went to bed. Less than 10 minutes I jumped out of bed in excruciating pain. I mean the burning is soooooo unbearable I am literally in tears. I sat over the toilet and started pushing and wiping with tissue and got a chunk of it out but I'm still in much pain from the burning. Tried letting the cold shower run over and up in me and that only helped a bit. What has happened to this brand. I have used this in the past and all I ever felt was a bit mushy in my panty at night from the cream. I am now having mild cramps and just want to tear my whole vagina out and throw in the garbage. I will NOT be using this again. Ever!,1
Xulane,Birth Control,"After using pills and the the shot this I'd the best one by far, I've never had a regular period and after having twins I would get my period twice a month and spot in between. I went on the patch and it regulated me instantl . The only negative is when I first puton the patch it irritates my skin a little and can pul on my skin a little and taking it off unless you're in the shower is hell.",9
Byetta,"Diabetes, Type 2","I have been off and on Byetta for about 2 years. I had issues with vomiting and not being able to tolerate the 10mg. Finally I found the answer. My doctor said to take the injection then wait 1 full hour to eat, and not to eat more than a very very small portion of food. I have not had any upset stomach doing this. I thought it was because of what I ate, like salad dressing or greasy foods, but it was the amount of food that I ate that was making me sick. I haven't been sick this round of using the medicines, using this method and feeling very full after just a few bites of food. Try limiting your food intake to relieve stomach upset.",10
Benzonatate,Cough,I have taken this medicine and so far nothing still coughing my head off I have coughed to so much my chest hurts and I've been vomiting and even after I took it still coughing my head off,1
Geodon,Bipolar Disorde,I was on this for a few months. I couldn't function at all. Although I did lose weight. I'm trying risperidone now. I really hope it works for me. All I want is to be mentally sound...bi-polar/panic anxiety disorder.,3
Zohydro ER,Pain,"I was taking oxycontin 20 with oxycodone 15 for breakthrough qid for severe back pain/spinal stenosis. Previous surgery 30 years ago and no known surgery to help except the experimental approaches with cages to lift. I'm in the business so not interested. Anyway, knowing my pharmacology, I moved from oxycontin (4 hours half life to zohyrdro 8 hrs half life. And, its' spot on. Neither is a true BID drug but Zohydro comes close and gives you maybe 6-7 hours of good sleep and if you wake up with breakthrough, take an oxycodone, wait 45 minutesw and go back to bed. Don't take another zohydro. Fairly flexible. eally works well for me. So much better than force fitting a TID or even a QID oxycontin as a BID. Look at the pharmacodynamics please",8
Doxycycline,Acne,"I use to have really bad cystic acne on my forehead, between my eyes and on my jawline. I started using this medication my senior year in high school along side Accutane and my problems were solved. My prayers answered. I quit using it after high school and I began to break out again. Just last year I began taking it again, Just the doxycycline and I feel happy with the results. My acne is not totally cleared up. But I rarely, almost never get cystic acne. Just a few little ones here and there. I find that benzoyl peroxide acne wash is best pared with this medication for me. But everyone is different.",9
Onexton,Acne,I am 22 years I was given a sample of onexton from my dermatologist so I could get started until I got mine mailed to me. Let me just say this stuff is AMAZING! My breakouts were significantly smaller and less noticeable with the first application. After a week my face was close to completely clear to where I just used it about twice a week. The reason I'm giving it a 9 and not a 10 is because it did dry me out a bit but nothing you can't control with a good moisturizer. Over all in LOVE with this stuff.,9
Levonorgestrel,Abnormal Uterine Bleeding,"I have had the Mirena in for 1 week now. I have had mild cramping but everything is getting better. I have had light bleeding since the insertions, so far no problems. I am 21 years old and don't have any children. Previously, I had heavy bleeding and had to get a blood transfusion and had to stay in hospital because of it. So my doctor decided Mirena would be the best for me. My husband and I do want to have children in the near future so this type of birth control is great because you dont have to worry about it and you can take it out in 6 month to a year. Overall I haven't had this for very long but I'm liking it.",8
Vyvanse,ADHD,"I've had Adderall, Dexedrine, and Concerta as well and this was by far the worst. I took it for nearly a year and had multiple panic attacks a day while on it and watched my personality turn from calm and timid to raging and confrontational. Switched to dexedrine and had much more success, but overall found counselling and CBT for ADHD to be infinitely better than any drug I've taken for it.",2
Promethazine,Nausea/Vomiting,"By far the best and non addictive medication for motion sickness or vomiting. I know you shouldnt do this but if you do end up consuming too much food or ""drink"" and feel sick take a half of these and drink a couple full glasses of room temp. water and in 15 minutes its all over with. Make sure you read all the ingredients before consuming. Good for massive headaches as well.",10
Pregabalin,ibromyalgia,"I was prescribed Lyrica (pregabalin) about 6 months ago. I was so shocked by the feelings of unreality it initially caused that I quickly stopped taking it. My fibromyalgia got so bad at the end of the year, that I decided to try it again. I take low doses, 25 mg 2x a day, sometimes a 50 mg. The effect sets in within hours. My fibromyalgia pain is almost completely gone. A late evening dose allows me to sleep longer. I do feel strange when I take it and my intellectual capacity is quite affected, but the lack of distraction by the pain and a better social interaction with increased confidence levels makes up for that. I have to make sure that authorities and decision-making bodies are aware of my reduced competence.",8
Beyaz,Birth Control,"I was prescribed Beyaz after being diagnosed (finally) with Polycystic ovarian syndrome. After three months I've lost roughly fifteen pounds, I actually get my period (which for me is a good thing) and I see no other side effects past that that weren't bringing the changes from being put on progestin back to normal. If you have PCOS or similar symptoms, I'd recommend researching it further.",7
Trintellix,Depression,"So far so good, minimal sexual side effects and I don't feel zoned out like I have on other antidepressants. Still only on ten mg will go up in a few weeks. This is week 2.5 for me.",7
Divalproex sodium,Migraine Prevention,"I have tried Depakote for migraines, as well as Childhood Epilepsy. My son has tried it for Bipolar disorder. It can and does make me and my son lethargic, can cause an increase in salivation, causes massive weight gain (from 105 to 155lbs). In my opinion, the possible benefits are not worth the side effects.",4
Belviq,Weight Loss,"I was on Belviq for a while and it was really good it helped me loose over 70 lbs. but after the 5 month of being on it it started to make me dizzy, sleepy, tired, confused, and a little depressed. It also made me it really hard for me to concentrate. The medication was no longer working for me, I had an incredibly hard time moving. I constantly felt thrown out of balance and almost fell several times. I had to stop taking it, good news though the medication didn't cause any type of discontinuation syndrom so once I was off of it I felt so much better.",4
Natalizumab,Multiple Sclerosis,The only side effect is extreme fatigue for about a week. It goes away and then I am quite good the next three weeks. So far so good.,5
Fexofenadine / pseudoephedrine,Allergic Rhinitis,"The antihistamine effects aren't as strong as immediate release diphenhydramine (Benadryl), but it still works pretty well and the continuous release is a nice thing to have.",8
Concerta,ADHD,I do like this medicine. I've been taking it for 2 months now. 18mg it has worked very good for me but I have lost my appetite. I think it is worth it.,9
Xenical,Obesity,"Xenical made look skinnier than ever. I also controlled my calorie intake while i was taking them. I went from 140 to 125. i was 125lbs when i was 15 yrs old, now I am 32. the issue with the bothrooms trips is true and kind of uncomfortable but but you will learn to deal with situation.",10
Chlorpheniramine / pseudoephedrine,Allergic Rhinitis,"This medication helped me. I took it for years. I don't know who took this off the market. You claim to care about people, if you really cared you would be interested in what helped people.",10
Oxcarbazepine,Bipolar Disorde,I have taken Trileptal 75 mg with 25 mg of Effexor at bedtime for 3 years with outstanding results for anxiety/ panic attacks. Sleep improved dramatically with this combination of drugs.,10
Dienogest / estradiol,Birth Control,I was on natazia and the only side effect I had was nausea. I got married and my husband took me on his insurance which the didn't cover natazia so I had to switch to ortho tricyclin theday I started ortho I felt tired and moody. I thought it was because I had started my period. The next day it worsened and I felt like I couldn't breath and my heart rate felt weird. I went back to natazia and felt so much better right away!,10
Dilaudid,Pain,"While I was in the Emergency Room the doctors diagonosis was that I had a blood clot in the right lung. I was given morphine, which didn't work, they then gave me Dilaudid and it was a wonderful pain reliever. Thank you for the pharmaceutical advances that have been made to help me in my hours of pain.",10
Verapamil,Migraine Prevention,I have a history of frequent headaches and mild dizziness. Recently developed severe 24/7 dizziness and head. Was bedridden for almost 3 months. Chronic migraine and vestibular migraine suspected. Started 120 mg verapamil and within days both headaches and dizziness started to improve. Within a few weeks was able to go back to work part time. Still not 100% but will be increasing dose and hoping for continued improvement. This medication has literally given me my life back!,9
Effexor,Depression,"I had a lot of side effects on Effexor 37mg- dry mouth, constipation, increased heart rate and blood pressure, ringing in ears, nausea, shakiness, more anxiety and so on. I don't remember having all these with Lexapro or Zoloft a few years ago. At least not to the same degree as Effexor and if there was any side effects they went away after a few weeks. I switched back to Zoloft 25mg after 3 weeks and 3 days in I already feel better - no more feeling wired or jittery. Effexor is not the med for me. It did help the depression, but the crazy side effects aren't worth it to me. I do have a friend that's been on it awhile and it work great for her.",3
Azor,High Blood Pressure,My blood pressure has been around 160/100. Doctor prescribed Azor 40/10. Just 4 hrs later my reading showed 120/82. I was amazed. I am now on it daily. Thanks to Azor.,10
MS Contin,Chronic Pain,"After years of just plain Percocet 10/325, Ms-Contin is a miracle. I can actually feel like a human being again. I've had C3, 4 & 5 fused. C1 & 2 are in bad shape and they are scared to perform any more surgery. My left rotator cuff is ""gone"" and irreparable. Rothman Institute said it will only get worse, nothing more can be done. Right rotator cuff is not as bad, still have 2 surviving (barely) tendons. Both knees are destroyed and will soon need replaced. Ms-Contin with 10mg Oxycodone 3 x daily for breakthrough pain have given me my life back again, (as much as possible.)",9
Synvisc-One,Osteoarthritis,"Knee surgery in March for(I was told)severe Arthritis and two Meniscus tears. The recovery and therapy was awful! My doctor kept giving me Cortisone shots, then he suggested the Synvisc, I finished the Synvisc treatments in July and I STILL have horrrible pain daily! I can't sleep through the night without the pain, unable to stand on my own without holding on to something, and every visit to a store, I look for a basket, just to have something to hold on to. The surgery was a FAIL and all the doctor will say is ""you had extensive arthritis, I had to do a lot of work once I got inside of your knee"". I am no longer able to straighten my knee out, I can't walk straight which has now thrown my back out of whack! It didn't work!!!!!!!!",1
Contrave,Weight Loss,"Female 5'7"" 179lbs I started Contrave on 5/7/17. I am going into week 3. As of now no significant weight loss. And my appetite is not as nearly diminished as I thought I would be. The first day it did I did not eat all day till dinner and even then it was a small portion. I drink water non stop, cut the soda, still allow myself one cup of coffee Mon-Fri. I do get a little nausea and slight headaches, but nothing to bad. I am someone who suffers from Migraines but this is pill is not adding to them at all.. So that I am thankful for, no depression or anxiety so that is a plus. I have cut my food in take and I am eating smaller portions. I do go to the gym 3 times a week. I have a friend that lost 60lbs over an 8 month period. So I am hopeful",5
Ibuprofen,Pain,"I took 600 MG of this medication for a mild to moderate knee sprain, and it made it tolerable to bear weight. It reduces inflammation, which is good for minor injuries. I would highly recommend this for short term use, as it's over the counter and not sedating. It works pretty fast, too.",8
Falmina,Birth Control,"I was switched to this birth control and it was the absolute worst experience of my life. This pill had me in and out the hospital for 2 weeks. It started with headaches, depression then I started having numbness and tingling on my left side. I thought I was having a stroke. Felt as if a balloon was in my head. Dr's swore that I was on some type of street drug. I went from hospital to hospital for any one that could help me. I was at the point where I tried to commit suicide. Even now I still have side effects two yrs later. I've been on other pills before with no experience like this. The admitting hospital said it was absence seizures. But my OB believed me and knew what it was.",1
L-methylfolate,Depression,"I've been on Deplin for 20 days now, along with Zoloft. I had great success with Cymbalta, but it messed badly with my blood pressure (going from 112/65 to 175/100) so I had to go off it. I was put on Zoloft as a stop gap, but have tried it in the past without much success, as with all the others. They say it can take 4-6 weeks before Deplin has its full effect. I'm still hopeful, but I do so wish I'd seen the overnight change like others.",5
Lurasidone,Bipolar Disorde,"Just started 80mg at night with a meal. Was taking Seroquel 400mg at night, gabapentin 4000mg a day and depekote xr. Found a great shrink and was re diagnosed bi-polar I. In the past it was bi polar II. I never gained weight since I am Type 1 diabetic. Along with 0.5mg klonopin twice a day as needed for panic disorder. Life seems brighter when I wake up. I am on no opoid meds. It seems this new drug doesn't spike glucose levels like most bi polar meds eg. Seroquel.",9
Sulfacetamide sodium / sulfur,Acne,"Our Dermatology practice now offer a Cheap alternative to Salfacetamide is Joesoef Skin Care Sulfur Soap 10% with .25% Salicylic acid which makes it 100% effective treatment for Acne, Rosacea, Dermatitis (SD), Fungus, Bacteria, Clogged Pores, Body Acne, Tinea Versicolor and more. Sulfur is anti bacterial, anti fungal and antiseptic which makes it extremely effective treatment for various skin disorders. For more info visit https://www.youtube.com/watch?v=UGw3MYy4Po8 . This brand offers a complete line of natural Sulfur based skin care line formulated and developed by Dermatologists and FDA approved.",9
Aubagio,Multiple Sclerosis,"I've never written a drug review before, but I finally figured out that it's the only way to find out the REAL side effects for all these new MS drugs. 47 now, but diagnosed at 21; Long before any of us had the three shots to choose from. Started there, then Tysabri, then Tecfidera, and now Aubagio. I will come back and adjust my rating in 6 months, but so far, I'm loving it. Little worried because it sounds like there are a few side effects that they didn't mention. DON'T think just because the drug company and your neuro say that's not a possible effect of the drug, it isn't. Thank you all who share your drug experiences. Without you, many of us would keep taking drugs that lower our quality of life.",7
Levomilnacipran,Depression,Age 60 male. Several years with BPH being managed by Xatral but TURP coming soon. Past year my depression/PTSD being managed by Cipralex 20mg. Unhappy with weight gain and anorgasmia so I was just prescribed Fetzima. Weaned off the Cipralex and yesterday was the first day of introduction of Fetzima (20mg) but within hours I developed urinary urgency and much reduced flow. Discomfort increased through the day causing pain and extreme gas/stomach bloating. So 24 hours later I'm not taking Fetzima again until I talk to the doctor. It may just be coincidental but I fear the side effect of urinary retention is a real problem with the Fetzima when exacerbated by a pre-existing BPH condition so beware!,1
Carvedilol,High Blood Pressure,"I had been put on carvedilol along with valsartan 160/25. It worked for blood pressure, however my cardiologist advised me that it was a significant contributor to my erectile dysfunction. After various trials in dosage, we eliminated carvedilol altogether and went to Bystolic with good BP results and no erectile dysfunction complications. Carvedilol may be good for those with actual heart problems, but just for control of BP, we found a great substitute without all the side effects.",2
Hydralazine,High Blood Pressure,"I started taking Hydralazine 25 mg approximately 4 weeks ago. Friday night while taking my hair down, I noticed quite a bit of my hair was falling out. When I got it all down, I realized it was short... boy short. I am so upset. I threw the medicine away. I'll just have to find something else to make my blood pressure go down. Gee whiz.",2
Ziac,High Blood Pressure,"Worked very good the first time I was prescribed it, was taken off it and 5 years later represcribed. It did little to lower my hypertension on the second round. Little side effects, maybe coughing a little more, that's about it. It was okay the first time but failed on the second.",5
Vistaril,Anxiety,"I was given Vistaril for anxiety, to be used ""as needed"" for my panic/anxiety attacks, and for me, it did nothing but make me a little sleepy. I know most anti-panic drugs are sedatives, but those generally do more than make you tired. This one just made me tired and freaked out.",2
Kapvay,ADHD,"My son is 6 years old and was diagnosed with ADHD, ODD, Aspergers syndrome, and possible bipolar disorder. We have tried so many medications, Ritalin, Adderall, Focalin XR, Risperadal, Seroquel, and regular Clonidine. He is now taking 300 mg of Trazadone which doesn't help, 15 mg of Abilify, and Kapvay. I've spaced the three medications out but he still wakes up at 9 am and goes to bed at 3 am. I am at a loss right now because the psychiatrist says he's limited as to what he can put him on but the Trazadone I swear seems to wire him up. He's wide awake as I am writing this post. The Kapvay does make him cranky and irritable during the afternoon, any advice please.",4
Meloxicam,Osteoarthritis,"My right hip has been incredibly painful for the last couple of years. I've had two major procedures where a cortisone was injected into my hip. This was done in a hospital setting. Recently my hip started to act up again. My doctor, as in the past, recommended a replacement. I asked him if there was anything other option. He then suggested Meloxicam. He wasn't fond of it because of possible side affects.The next morning I took my first tablet (15mg). In less than 2 hours the pain was completely gone. It was a miracle!",10
Risperdal,Depression,Take 1.0 mg to help augment my anti-depressant. It helps my paranoia and my racing thoughts and helps me be calm. I love this drug. Recommend to anyone whose anti-depressant alone does not work.,9
GlipiZIDE XL,"Diabetes, Type 2","I have used Glipizide XL for about 6 years now as a secondary medicine. Glipizide helps to keep my blood sugar numbers within range and keeps me from having to use insulin as much as I would without it, which is a good thing. I haven't had any side effects from the glipizide at all. I'm very happy with this medication.",10
Tri-Linyah,Birth Control,"I've been taking this for two months and hate it. My periods have been extremely worse than the ones I had before the pill. Plus I'm spotting every. single. week. In addition, I am so nauseous, lower sex drive, and very moody. I forgot to take this pill one night and felt way better the next day. I took the pill that night, and started feeling sick again immediately. I thought I've had a flu bug, but I think it's the effects of this medication!",2
Methamphetamine,ADHD,"Took this for 3 weeks. After the honeymoon phase of week 1&2, I noticed how clean it felt. I had little to zero side effects. Then week 3 I increased it to 10mg in the morning and 5 in the afternoon. Developed freezing cold toes and fingers. It was a nightmare, stopped for a few days, tried 1 a day seemed to be fine, increased it to 2 and felt the cold sensation. Moving onto another medication.",5
Blisovi Fe 1 / 20,Birth Control,"Like many others here, I was prescribed Gildess by my doctor, and used it for over a year without a single side effect. This past month, I went to pick up a refill and was informed that it had been discontinued and was given Blisovi as a substitute. I have had an absolutely HORRIBLE experience. In the past month, I have gained 5 pounds (which is a lot on on my 5'1 frame), experienced EXTREME changes in mood (unpredictable anger/depression), and this past week I've started to experience frequent panic attacks. My vision has deteriorated noticeably, and I have felt periodically dizzy. DO NOT take this!",1
Patanase,Allergic Rhinitis,"I have suffered with chronic sinusitis for nearly 30 years. In the past 5 years I have had constant sinus headaches, pain, even vertigo due to ears feeling blocked. I have been on numerous antihistamines, steroids, decongestants, inhalers, and nasal sprays. None have ever been as effective as Patanase. (I use Patanol eye drops for eye irritations due to allergies.) I finally was seen by an allergist that did some skin testing and the results were minimal. I described my symptoms and he prescribed Patanase. Yeah. I am thrilled with the results. I will recommend this any day for someone else who maybe suffering with little or no relief.",10
Lidocaine,Pain,Bought an over the counter lidocaine creme recommended for waxing pain numbing by the pharmacy and I felt no different even after an hour. Seriously useless. Don't waste your money.,1
Etonogestrel,Birth Control,I got the nexplanon inserted on December 2nd of 2015 and I have bled constantly still to this day. I read a lot of stuff online that you should wait about 3 months to see if it will stop and mine has gotten worse if anything. I can't stand being on my period all the time I feel gross. I don't want to have relationships with guys because it is embarrassing and gross to have to explain that I bleed constantly. I get angry over the smallest things and I constantly have cramps and headaches. This thing is so expensive to get out but I don't want to keep this in any longer. This has been the worst experience of my life and I don't feel like myself anymore.,1
Lioresal,Muscle Spasm,Been taking these due to 2 back surgeries within a 9 month period. Doesn't really help with my muscle spasms.,2
Dilaudid-HP,Pain,"Pain management is moderate. Side effects are awful. Dizzines, nausea and feeling of floating and not being present.",2
Lithium,Bipolar Disorde,"I started to take lithium along with Manerix in Jan/Feb 2007. I was diagnosed with Chronic Depression. I was hospitalized for six months before they found the right medicine that worked for me. They tried so many anti-depressant that did not work until these. Now they think I might be bipolar because the lithium was the one that worked. I did have some side effects like dry mouth, tremors, had trouble with doing small things with my hands like writing. But in time this went away. Lithium did cause hypothyroidism in the 2nd year. That will not go away even if I go off Lithium. The Endocrinologist has had trouble balancing my thyroid which made me gain 30 pounds in 2 and a half years.",8
Tanzeum,"Diabetes, Type 2","Previously on Bydueron, which worked really well! Unfortunately, my insurance stopped covering it. Tried Trulicity..made me sick. Started Tanzeum in April 2016, and my numbers have gotten worse, I've gained 15 lbs and it's making feel down. I will be asking my doctor to put me back on Bydureon and hopefully the insurance will cover.",1
Phendimetrazine,Obesity,"I've been taking Bontril SR (105 mg) for 30 days. The 1st week I lost 7lbs and the 2nd week I lost 3 lbs and none since. The 1st week I had tons of energy and a significant decrease in appetite. The 2nd week my appetite started to come back and the energy was gone. I now have almost the same appetite as before, although I do get full a little quicker. Went to Doctor today to get refill. Going to try 1 more month. I did follow the 1200 calorie diet and drank lots of water the 1st 2 weeks. It is hard to restrict calories now that the hunger is back. As far as side effects, I did experience headaches, insomnia and dry mouth for a few days, but that has gone away. I was also irritable that 1st week. Now the only side effect is dizziness if I don't drink enough water.",8
Ibuprofen,Rheumatoid Arthritis,"I'm starting to have pain in 2 of my fingers on my right hand, and I know that my family history has arthritis, so by taking 800mgs of Advil, it seems to take away the pain. I also found that putting heat on it, helps the pain also.",10
Polyethylene glycol 3350,Constipation,"I have constipation due to irritable bowel syndrome. After using many other laxatives that helped for awhile, Miralax( Restoralax in Canada) is the only one that has helped me have a regular bowel movement every morning without cramps, gas and bloating. I've been using it for about 6 weeks with no side effects. I take Restoralax every mid-afternoon and drink lots of water all day.",10
Zomig,Migraine,"I have been having migraines since I was very young and now 60. I found I couldn't travel anywhere and couldn't go out in the sun. I've have been taking zomig for 4 years and usually it just stops my migraine straight away must admit it has given me my life back . But yesterday while I was driving a long distance it came on quick And zomig didn't work as well, I think I took it to late, when I finaly got home in agony all the side afects started I felt realy ill my throat closed and pain shot around my neck and back. Hopefully this won't happen again.",9
Viberzi,Irritable Bowel Syndrome,"I have been struggling with stomach issues for several years now and have gone through lots of bloodwork, 2 colonoscopies, stool samples, different diets, you name it! Turns out I have IBS-D and also battle anxiety on a daily basis which makes it worse. My symptoms include cramping, urgency, severe diarrhea (upwards to 10x a day), and sometimes rectal bleeding. I'm often late for work because I'm stuck in the bathroom or afraid to leave the house. I started taking 100mg twice a day of Viberzi and it's been absolutely amazing. I am currently 15 days diarrhea free, with very minimal cramping. Hoping it stays this way.. forever! I tried Xifaxan back in November and that did nothing for me. It's an expensive medicine, but it's worth it for me.",10
Carvedilol,High Blood Pressure,"Ruined everything!after being healthy and taking Zestril for 25years for moderate blood pressure, the doctor suggested I try Coreg! Within 6-8 weeks, I passed out face down while golfing with friends! I would pass out in my chair, several times a day?!! Only two months before, I visited the Napa wine country with my son & wife. My wife was in a wheelchair, & I pushed her all through the airport, lifted luggage , ate whatever I wanted,salt was not a restriction!!! Coreg changed all this! After 8 weeks! I ended up developing bradycardia ! (Slow heartbeat) I could inot ever get it irnyoressure back! Now they tell me I have developed amyloidosis(? I feel that slowing my heart rate had something to do with this, no matter what they say!",1
Azor,High Blood Pressure,"its hard for me to remember to take the pill and when the pain du to HBO comes Azor takes at least 2-3 days to work , Really expensive pill at $13.50 each at Walgreens , Insurance deductible each month is $98.00",5
Ampyra,Multiple Sclerosis,"Ampyra has made my quality of life a more positive experience! I used to have problems with my gait, Ampyra makes it so I am able to walk straight again. Also, I have noticed a drastic change in my cognitive functions. My thought process, language barrier and my ability to remember things short term has improved. I can really tell a difference if I forget a dose! Not a cure, but a step in the right direction!",10
